Sample	Samtools: stats_mqc-generalstats-samtools_stats-error_rate	Samtools: stats_mqc-generalstats-samtools_stats-non_primary_alignments	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_properly_paired_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_MQ0_percent	Samtools: stats_mqc-generalstats-samtools_stats-raw_total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
RAP1_IAA_30M_REP1	0.0	4096.0	88156.0	88.156	88.156	0.202	100000.0	85.69	42845.0						
RAP1_IAA_30M_REP1_1										65.4	40.0	101.0	101	20.0	50000.0
RAP1_IAA_30M_REP1_2										65.928	40.0	101.0	101	20.0	50000.0
RAP1_UNINDUCED_REP1	0.0	1767.0	47327.0	94.65400000000001	0.0	0.1	50000.0	91.84	45921.0	65.292	40.0	101.0	101	20.0	50000.0
RAP1_UNINDUCED_REP2	0.0	3468.0	95206.0	95.206	0.0	0.10300000000000001	100000.0	92.39	92394.0						
RAP1_UNINDUCED_REP2_1										65.154	40.0	101.0	101	20.0	50000.0
RAP1_UNINDUCED_REP2_2										65.656	40.0	101.0	101	20.0	50000.0
WT_REP1	0.0	9050.0	173794.0	86.897	86.897	0.207	200000.0	84.12	84125.0						
WT_REP1_1										68.414	40.0	101.0	101	20.0	50000.0
WT_REP1_2										66.822	40.0	101.0	101	20.0	50000.0
WT_REP1_3										68.63	40.0	101.0	101	20.0	50000.0
WT_REP1_4										68.038	40.0	101.0	101	20.0	50000.0
WT_REP2	0.0	4894.0	87442.0	87.442	87.442	0.258	100000.0	84.56	42280.0						
WT_REP2_1										67.856	40.0	101.0	101	20.0	50000.0
WT_REP2_2										66.176	40.0	101.0	101	20.0	50000.0
