task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	14/4a18d1	224089	NF_RIMA:RIMA:PREPARE_GENOME:STAR_GENOMEGENERATE (genome.fasta)	COMPLETED	0	2024-08-22 11:42:32.423	1.4s	273ms	104.2%	3.2 MB	7.6 MB	4.8 MB	6 MB
4	87/52d1f0	224116	NF_RIMA:RIMA:FASTQC (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-08-22 11:42:32.473	5.7s	4.6s	203.3%	231.3 MB	15.4 GB	13.4 MB	1.8 MB
6	5f/47ebac	224102	NF_RIMA:RIMA:FASTQC (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-08-22 11:42:32.453	5.7s	4.6s	295.6%	326.6 MB	15.6 GB	16.5 MB	3.5 MB
5	e9/3583dc	224095	NF_RIMA:RIMA:FASTQC (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-08-22 11:42:32.443	5.7s	4.6s	298.1%	337.3 MB	15.5 GB	16.4 MB	3.5 MB
3	67/14045c	224109	NF_RIMA:RIMA:FASTQC (WT_REP2)	COMPLETED	0	2024-08-22 11:42:32.463	5.7s	4.6s	271.0%	355.8 MB	15.7 GB	16.3 MB	3.5 MB
2	b9/72876d	224126	NF_RIMA:RIMA:FASTQC (WT_REP1)	COMPLETED	0	2024-08-22 11:42:32.493	7.7s	6.6s	248.1%	447.2 MB	15.5 GB	22.4 MB	7.1 MB
9	a5/75676c	224886	NF_RIMA:RIMA:PREPROCESS_STAR:STAR_ALIGN (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-08-22 11:42:34.396	51.9s	50.5s	100.0%	790.9 MB	4.5 GB	27.5 MB	6.2 MB
12	d4/70591f	235162	NF_RIMA:RIMA:PREPROCESS_STAR:STAR_METRICS (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-08-22 11:43:26.596	131ms	42ms	133.3%	0	0	281.6 KB	2.2 KB
13	19/9da476	235173	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_SORT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-08-22 11:43:26.609	1.3s	208ms	183.0%	24.2 MB	1.9 GB	6.9 MB	4.9 MB
14	3c/94c2a7	235377	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-08-22 11:43:27.915	1.1s	48ms	120.8%	3.2 MB	7.6 MB	1.7 MB	9 KB
10	42/b085a2	224893	NF_RIMA:RIMA:PREPROCESS_STAR:STAR_ALIGN (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-08-22 11:42:34.415	1m 35s	1m 34s	99.9%	813.6 MB	4.5 GB	51.9 MB	12.4 MB
15	86/9698e6	238900	NF_RIMA:RIMA:PREPROCESS_STAR:STAR_METRICS (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-08-22 11:44:09.609	126ms	40ms	103.2%	0	0	279 KB	2.2 KB
16	4c/27b3a6	238918	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_SORT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-08-22 11:44:09.637	1.4s	355ms	199.0%	41.2 MB	1.9 GB	13.5 MB	9.6 MB
17	ac/2df418	239459	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-08-22 11:44:11.100	1.2s	97ms	123.4%	3.2 MB	7.6 MB	3.1 MB	11.1 KB
11	61/274155	224907	NF_RIMA:RIMA:PREPROCESS_STAR:STAR_ALIGN (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-08-22 11:42:34.447	6m 10s	6m 9s	100.1%	814.4 MB	4.5 GB	51.9 MB	12.4 MB
18	7e/cd4347	260918	NF_RIMA:RIMA:PREPROCESS_STAR:STAR_METRICS (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-08-22 11:48:44.524	126ms	42ms	103.8%	0	0	281.6 KB	2.2 KB
19	58/f45cbc	260965	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_SORT (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-08-22 11:48:44.610	1.4s	379ms	197.8%	41.1 MB	1.9 GB	13.8 MB	10.5 MB
20	db/4a94c9	261317	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_INDEX (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-08-22 11:48:46.075	1.2s	105ms	130.9%	6.8 MB	223 MB	3.9 MB	11.6 KB
